Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
579;2;187;186;0
580;2;187;188;0
581;2;189;187;0
582;2;195;189;0
583;2;189;193;0
584;2;190;191;0
585;2;192;190;0
586;2;199;190;0
587;2;190;197;0
588;2;190;4294967295;0
589;2;191;4294967295;0
590;2;193;191;0
591;2;191;192;0
592;2;193;192;0
593;2;195;192;0
594;2;194;192;0
595;2;192;199;0
596;2;195;193;0
597;2;201;194;0
598;2;194;199;0
599;2;194;195;0
600;2;196;197;0
601;2;198;196;0
602;2;206;196;0
603;2;196;203;0
604;2;196;4294967295;0
605;2;197;4294967295;0
606;2;199;197;0
607;2;197;198;0
608;2;199;198;0
609;2;201;198;0
610;2;200;198;0
611;2;198;206;0
612;2;201;199;0
613;2;200;206;0
614;2;200;201;0
615;2;208;200;0
616;2;4294967295;202;0
617;2;203;202;0
618;2;202;205;0
619;2;204;202;0
620;2;202;210;0
621;2;203;4294967295;0
622;2;206;203;0
623;2;203;205;0
624;2;205;204;0
625;2;207;204;0
626;2;214;204;0
627;2;204;212;0
628;2;204;210;0
629;2;206;205;0
630;2;208;205;0
631;2;205;207;0
632;2;208;206;0
633;2;207;208;0
634;2;214;207;0
635;2;4294967295;209;0
636;2;210;209;0
637;2;209;212;0
638;2;211;209;0
639;2;209;219;0
640;2;210;4294967295;0
641;2;212;210;0
642;2;221;211;0
643;2;211;219;0
644;2;212;211;0
645;2;213;211;0
646;2;211;223;0
647;2;214;212;0
648;2;212;213;0
649;2;213;214;0
650;2;223;213;0
651;2;4294967295;215;0
652;2;215;4294967295;0
653;2;218;215;0
654;2;222;215;0
655;2;215;217;0
656;2;4294967295;216;0
657;2;217;216;0
658;2;216;220;0
659;2;217;4294967295;0
660;2;222;217;0
661;2;217;220;0
662;2;218;222;0
663;2;4294967295;218;0
664;2;218;219;0
665;2;221;218;0
666;2;221;219;0
667;2;219;4294967295;0
668;2;222;220;0
669;2;220;221;0
670;2;220;223;0
671;2;223;221;0
672;2;221;222;0
